date,timestamp,price,price_change_pct,asset
2025-02-14 00:00:00,1739491200000,96561.6639990985,,bitcoin
2025-02-15 00:00:00,1739577600000,97488.48148536457,0.9598192987589016,bitcoin
2025-02-16 00:00:00,1739664000000,97569.95169430465,0.08356906138937692,bitcoin
2025-02-17 00:00:00,1739750400000,96149.3484548204,-1.4559843628242475,bitcoin
2025-02-18 00:00:00,1739836800000,95776.15723852723,-0.38813702046928134,bitcoin
2025-02-19 00:00:00,1739923200000,95495.89153299287,-0.29262575740679475,bitcoin
2025-02-20 00:00:00,1740009600000,96554.87156259285,1.1089273188617854,bitcoin
2025-02-21 00:00:00,1740096000000,98384.31738240314,1.8947214057701167,bitcoin
2025-02-22 00:00:00,1740182400000,96135.15541305285,-2.286098058299446,bitcoin
2025-02-23 00:00:00,1740268800000,96564.15414290235,0.4462454218815859,bitcoin
2025-02-24 00:00:00,1740355200000,96327.46309127835,-0.2451127478150239,bitcoin
2025-02-25 00:00:00,1740441600000,91396.76686930266,-5.118681696520378,bitcoin
2025-02-26 00:00:00,1740528000000,88755.7693356979,-2.889596234165903,bitcoin
2025-02-27 00:00:00,1740614400000,83900.11496524839,-5.470804215649505,bitcoin
2025-02-28 00:00:00,1740700800000,84709.14477847965,0.964277359532062,bitcoin
2025-03-01 00:00:00,1740787200000,84441.9012237131,-0.3154837124910381,bitcoin
2025-03-02 00:00:00,1740873600000,86005.25629681018,1.8513972926252231,bitcoin
2025-03-03 00:00:00,1740960000000,94261.53286538439,9.599734858159392,bitcoin
2025-03-04 00:00:00,1741046400000,86124.71418722175,-8.63217309417501,bitcoin
2025-03-05 00:00:00,1741132800000,87310.80531078295,1.3771785889272525,bitcoin
2025-03-06 00:00:00,1741219200000,90604.08098523637,3.7718993230345443,bitcoin
2025-03-07 00:00:00,1741305600000,90001.40087607042,-0.6651798711629353,bitcoin
2025-03-08 00:00:00,1741392000000,86773.33597555371,-3.586682950592812,bitcoin
2025-03-09 00:00:00,1741478400000,86142.9833586432,-0.72643584555524,bitcoin
2025-03-10 00:00:00,1741564800000,80751.13893300897,-6.259180046256474,bitcoin
2025-03-11 00:00:00,1741651200000,78783.94057934263,-2.436124591751365,bitcoin
2025-03-12 00:00:00,1741737600000,82799.1080292053,5.0964288157419935,bitcoin
2025-03-13 00:00:00,1741824000000,83884.24578828987,1.3105669673419973,bitcoin
2025-03-14 00:00:00,1741910400000,81098.90052436228,-3.3204629042709044,bitcoin
2025-03-15 00:00:00,1741996800000,83971.70916064628,3.542352137586624,bitcoin
2025-03-15 16:58:29,1742057909000,84330.86728567236,0.4277132484453494,bitcoin
2025-02-14 00:00:00,1739491200000,2675.7090007037627,,ethereum
2025-02-15 00:00:00,1739577600000,2724.6698335873957,1.829826519653488,ethereum
2025-02-16 00:00:00,1739664000000,2692.8213863864253,-1.1688919812731124,ethereum
2025-02-17 00:00:00,1739750400000,2659.9017474093457,-1.2224961946419866,ethereum
2025-02-18 00:00:00,1739836800000,2741.9050800956124,3.082945930846326,ethereum
2025-02-19 00:00:00,1739923200000,2669.4945006896073,-2.640885708686902,ethereum
2025-02-20 00:00:00,1740009600000,2714.8018364720533,1.69722529005929,ethereum
2025-02-21 00:00:00,1740096000000,2741.5933625994785,0.9868685724126802,ethereum
2025-02-22 00:00:00,1740182400000,2658.3470942919384,-3.036419238650656,ethereum
2025-02-23 00:00:00,1740268800000,2764.355233404291,3.987746345839316,ethereum
2025-02-24 00:00:00,1740355200000,2827.1844084879804,2.2728328951527432,ethereum
2025-02-25 00:00:00,1740441600000,2503.103420098605,-11.463029698961114,ethereum
2025-02-26 00:00:00,1740528000000,2495.315451693047,-0.31113250627299305,ethereum
2025-02-27 00:00:00,1740614400000,2325.853934699374,-6.79118613555233,ethereum
2025-02-28 00:00:00,1740700800000,2305.3229378029837,-0.882729417788819,ethereum
2025-03-01 00:00:00,1740787200000,2235.204208608959,-3.04160115896166,ethereum
2025-03-02 00:00:00,1740873600000,2212.8243514969954,-1.001244406473778,ethereum
2025-03-03 00:00:00,1740960000000,2517.3382391622977,13.76132215190491,ethereum
2025-03-04 00:00:00,1741046400000,2148.199533470228,-14.663850091710728,ethereum
2025-03-05 00:00:00,1741132800000,2171.496943535016,1.084508664199979,ethereum
2025-03-06 00:00:00,1741219200000,2241.3841149187283,3.218386817986585,ethereum
2025-03-07 00:00:00,1741305600000,2202.3207363495417,-1.7428239233596488,ethereum
2025-03-08 00:00:00,1741392000000,2140.7498089428914,-2.7957293590536336,ethereum
2025-03-09 00:00:00,1741478400000,2199.9995000805707,2.7677074121490675,ethereum
2025-03-10 00:00:00,1741564800000,2017.265460184326,-8.306094610001157,ethereum
2025-03-11 00:00:00,1741651200000,1879.1231054991026,-6.848000791755027,ethereum
2025-03-12 00:00:00,1741737600000,1921.3099227587034,2.245026796602323,ethereum
2025-03-13 00:00:00,1741824000000,1910.6551381032464,-0.5545583525722098,ethereum
2025-03-14 00:00:00,1741910400000,1862.7949366490388,-2.5049105147106454,ethereum
2025-03-15 00:00:00,1741996800000,1910.6662703455045,2.5698659983788064,ethereum
2025-03-15 16:58:57,1742057937000,1940.6596217717504,1.5697849431770328,ethereum
2025-02-14 00:00:00,1739491200000,2.5469915483007073,,ripple
2025-02-15 00:00:00,1739577600000,2.7396888464817004,7.56568267019011,ripple
2025-02-16 00:00:00,1739664000000,2.761982091436805,0.813714483808381,ripple
2025-02-17 00:00:00,1739750400000,2.7251894289423855,-1.332110827528199,ripple
2025-02-18 00:00:00,1739836800000,2.657177556541445,-2.4956750411047723,ripple
